"ID","Choice_set","Sex","Habit","Salary","Age","Price","Label","Carbon","Utility","Choice"
1,1,1,1,4,34,2,0,0,6.42695258473393,0
1,1,1,1,4,34,2.5,1,1,14.3492923257746,1
1,2,1,1,4,34,3.5,1,0,5.98408889082074,0
1,2,1,1,4,34,3,1,1,16.4867787308242,1
1,3,1,1,4,34,2.5,0,0,4.51429008858771,0
1,3,1,1,4,34,1.5,0,1,11.1257727947638,1
1,4,1,1,4,34,4.5,1,1,12.2558305555056,1
1,4,1,1,4,34,2.5,0,1,9.39070630788417,0
1,5,1,1,4,34,3.5,1,1,14.3915674064015,1
1,5,1,1,4,34,2,1,0,9.02634857097745,0
1,6,1,1,4,34,2.5,1,0,10.1750659197554,1
1,6,1,1,4,34,4,0,0,3.14207388633133,0
1,7,1,1,4,34,3,0,1,9.31439922206215,0
1,7,1,1,4,34,1.5,1,1,16.3455568521022,1
1,8,1,1,4,34,4,0,1,7.89598545087243,1
1,8,1,1,4,34,1.5,1,0,7.82040889005281,0
1,9,1,1,4,34,4,1,1,13.5280907842771,1
1,9,1,1,4,34,4.5,0,1,10.1462340403794,0
1,10,1,1,4,34,3.5,0,0,3.46265011770894,0
1,10,1,1,4,34,2,1,1,14.6891090996139,1
1,11,1,1,4,34,1.5,0,0,8.55953780570347,0
1,11,1,1,4,34,2,0,1,12.6682653314894,1
1,12,1,1,4,34,3.5,0,1,8.55492110180982,1
1,12,1,1,4,34,3,1,0,5.49231768803569,0
1,13,1,1,4,34,3,0,0,5.2133001298006,1
1,13,1,1,4,34,4.5,0,0,2.4985628097544,0
1,14,1,1,4,34,4.5,1,0,4.21636293532625,0
1,14,1,1,4,34,4,1,0,4.47402059021148,1
2,1,0,1,3,42,2,0,0,-4.71383703958929,0
2,1,0,1,3,42,2.5,1,1,-2.76111969985982,0
2,2,0,1,3,42,3.5,1,0,-5.30540367884468,0
2,2,0,1,3,42,3,1,1,-2.47743823196085,0
2,3,0,1,3,42,2.5,0,0,-5.32202252348787,0
2,3,0,1,3,42,1.5,0,1,5.43557873283395,1
2,4,0,1,3,42,4.5,1,1,-5.30242374890384,0
2,4,0,1,3,42,2.5,0,1,3.15551468915283,1
2,5,0,1,3,42,3.5,1,1,-2.72282130618994,0
2,5,0,1,3,42,2,1,0,-1.16584632587508,0
2,6,0,1,3,42,2.5,1,0,-1.01230750952976,0
2,6,0,1,3,42,4,0,0,-5.50815765320381,0
2,7,0,1,3,42,3,0,1,2.24788957064796,1
2,7,0,1,3,42,1.5,1,1,-1.14337900564314,0
2,8,0,1,3,42,4,0,1,6.01196141128457,1
2,8,0,1,3,42,1.5,1,0,0.655625066224198,0
2,9,0,1,3,42,4,1,1,-3.06781205878384,0
2,9,0,1,3,42,4.5,0,1,0.293981493136676,0
2,10,0,1,3,42,3.5,0,0,-3.46193747570244,0
2,10,0,1,3,42,2,1,1,-0.94292592043374,0
2,11,0,1,3,42,1.5,0,0,-3.06249397202382,0
2,11,0,1,3,42,2,0,1,6.93543018455791,1
2,12,0,1,3,42,3.5,0,1,2.17470833797803,1
2,12,0,1,3,42,3,1,0,-1.79336234597019,0
2,13,0,1,3,42,3,0,0,-5.3013684624981,0
2,13,0,1,3,42,4.5,0,0,-7.73357349502865,0
2,14,0,1,3,42,4.5,1,0,-6.782212820123,0
2,14,0,1,3,42,4,1,0,-3.76958901451451,0
3,1,0,0,4,54,2,0,0,-1.65553864063598,0
